Date,Open,High,Low,Close,Adj Close,Volume
2019-03-08,231.800003,234.949997,229.550003,232.399994,226.188309,1641103
2019-03-11,233.000000,237.899994,231.699997,236.300003,229.984070,1813830
2019-03-12,237.100006,239.149994,235.000000,235.699997,229.400101,1727325
2019-03-13,236.449997,247.500000,232.750000,244.350006,237.818909,5719826
2019-03-14,247.000000,254.000000,246.250000,249.850006,243.171890,4428460
2019-03-15,251.800003,252.899994,243.399994,245.050003,238.500198,3411769
2019-03-18,247.050003,248.649994,241.850006,245.800003,239.230148,1923241
2019-03-19,247.000000,250.300003,245.000000,249.000000,242.344604,2345430
2019-03-20,249.449997,253.000000,246.449997,252.149994,245.410416,2483669
2019-03-22,252.149994,257.299988,250.649994,252.500000,245.751068,3515662
2019-03-25,250.000000,250.350006,246.100006,247.000000,240.398071,2390077
2019-03-26,248.100006,254.899994,247.500000,253.699997,246.918991,2048658
2019-03-27,258.450012,269.700012,256.100006,267.950012,260.788147,7038240
2019-03-28,270.000000,276.899994,268.399994,275.200012,267.844330,4194699
2019-04-01,277.000000,280.000000,273.950012,275.700012,268.330994,2815935
2019-04-02,277.100006,282.000000,274.799988,280.399994,272.905334,2167511
2019-04-03,283.200012,285.899994,272.299988,273.750000,266.433075,2791294
2019-04-04,274.950012,274.950012,265.399994,268.149994,260.982758,3302828
2019-04-05,270.799988,274.149994,264.000000,267.100006,259.960846,2272489
2019-04-08,267.200012,268.000000,258.250000,260.000000,253.050598,1745526
2019-04-09,262.000000,271.950012,258.850006,270.600006,263.367310,3252689
2019-04-10,271.000000,275.000000,267.549988,268.299988,261.128754,2298686
2019-04-11,269.000000,270.149994,264.100006,268.899994,261.712708,1934996
2019-04-12,268.899994,272.000000,266.000000,267.850006,260.690796,1732105
2019-04-15,268.850006,269.950012,264.750000,265.350006,258.257599,1196742
2019-04-16,267.399994,269.250000,265.049988,266.450012,259.328217,1231541
2019-04-18,266.899994,268.000000,253.949997,255.300003,248.476227,2800780
2019-04-22,254.399994,254.399994,237.000000,238.399994,232.027924,3517485
2019-04-23,238.550003,244.899994,230.550003,232.850006,226.626282,3791570
2019-04-24,233.000000,240.199997,231.449997,239.149994,232.757889,2815478
2019-04-25,241.399994,250.149994,236.500000,237.699997,231.346634,4866697
2019-04-26,240.100006,240.350006,232.000000,237.399994,231.054657,3661642
2019-04-30,213.699997,213.699997,165.300003,168.000000,163.509613,20646532
2019-05-02,163.300003,178.050003,160.000000,173.800003,169.154602,9989831
2019-05-03,176.800003,177.899994,169.949997,175.600006,170.906494,4189438
2019-05-06,169.500000,171.899994,165.500000,166.300003,161.855057,4312466
2019-05-07,168.500000,169.949997,163.550003,164.550003,160.151840,3365142
2019-05-08,165.000000,166.550003,160.050003,160.750000,156.453400,2863778
2019-05-09,158.000000,171.449997,156.750000,170.300003,165.748154,5591828
2019-05-10,172.300003,174.149994,163.050003,164.000000,159.616531,4421742
2019-05-13,164.500000,165.399994,154.000000,154.850006,150.711105,4665144
2019-05-14,155.000000,158.649994,151.500000,156.149994,151.976349,4234736
2019-05-15,154.899994,154.899994,142.500000,143.649994,139.810455,8203362
2019-05-16,143.899994,146.000000,135.000000,137.800003,134.116821,6454069
2019-05-17,141.000000,145.949997,133.050003,134.550003,130.953690,9077790
2019-05-20,142.050003,144.899994,137.199997,143.600006,139.761810,6123297
2019-05-21,144.949997,145.000000,138.600006,141.000000,137.231293,4234819
2019-05-22,140.899994,141.550003,135.449997,137.699997,134.019501,5214954
2019-05-23,143.399994,150.750000,138.750000,139.800003,136.063370,9528256
2019-05-24,140.550003,142.850006,139.500000,141.300003,137.523270,3408304
2019-05-27,141.800003,148.600006,141.000000,146.649994,142.730270,5087134
2019-05-28,148.750000,154.899994,148.100006,152.600006,148.521240,6392279
2019-05-29,153.949997,156.000000,150.699997,151.699997,147.645294,3546219
2019-05-30,150.350006,156.449997,149.800003,154.550003,150.419128,5104696
2019-05-31,156.000000,157.000000,147.199997,147.949997,143.995529,5290357
2019-06-03,147.949997,149.899994,144.600006,149.350006,147.350006,3188614
2019-06-04,148.750000,153.800003,148.600006,152.750000,152.750000,3264001
2019-06-06,149.750000,151.250000,142.300003,143.350006,143.350006,5978756
2019-06-07,143.399994,145.500000,136.250000,139.949997,139.949997,5543739
2019-06-10,142.000000,145.000000,132.500000,135.899994,135.899994,6081287
2019-06-11,135.000000,143.550003,133.550003,139.300003,139.300003,5783013
2019-06-12,136.399994,137.550003,133.800003,134.649994,134.649994,4471405
2019-06-13,130.800003,130.800003,116.099998,117.199997,117.199997,14285099
2019-06-14,118.199997,121.000000,113.000000,115.349998,115.349998,11684367
2019-06-17,117.750000,118.300003,113.800003,116.199997,116.199997,5010034
2019-06-18,116.000000,117.449997,107.099998,109.300003,109.300003,8598028
